C;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;;;15  3/4 ;;16  1/4 ;;16  7/8 ;;17  5/8 ;;18  3/8 ;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICAL;;;;;;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;6  1/8 ;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICAL;  3/8 ;  3/8 ;;;;;15      ;;15  1/2 ;;16  1/8 ;;16  7/8 ;;17  5/8 ;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICAL;  5/16;  3/8 ;;;;;8      ;;8  7/16;;8 13/16;;9  1/2 ;;10  1/8 ;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;;;19  5/8 ;;20  3/4 ;;22  1/8 ;;23  5/8 ;;25  1/8 ;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;;;19  3/4 ;;20  5/8 ;;21  5/8 ;;22  7/8 ;;24  1/8 ;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;;;27      ;;27  1/2 ;;28      ;;28  1/2 ;;28  7/8 ;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICAL;;;;;;;4  5/8 ;;4  3/4 ;;4  7/8 ;;5  1/8 ;;5  3/8 ;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;;;6  9/16;;6 13/16;;7  1/16;;7  5/16;;7  5/8 ;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;6  1/2 ;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;;;15  5/16;;15 13/16;;16  7/16;;17  3/16;;18      ;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICAL;;;;;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;;;13  3/4 ;;14  7/16;;15  3/16;;15 15/16;;16  5/8 ;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICAL;  5/16;  3/8 ;;;;;7  3/8 ;;7 13/16;;8  1/4 ;;8  7/8 ;;9  5/8 ;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;;;;;26  3/8 ;;26  7/8 ;;27  3/8 ;;27  7/8 ;;28  3/8 ;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;;;24  3/16;;24 11/16;;25  1/16;;25  9/16;;25  7/8 ;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;;;;;13  3/4 ;;14  1/2 ;;15  1/2 ;;16 11/16;;17 13/16;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;;;8  3/8 ;;8  7/8 ;;9  5/8 ;;10  3/8 ;;11  1/8 ;;;;;;;;;;;;;
U;"ANCHO DE MANGA A 3"" DE CABEZA DE MANGA";;P;CRITICAL;;;;;;;8  7/16;;8 11/16;;9  1/8 ;;9  1/2 ;;9  7/8 ;;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;;;20  1/2 ;;21  3/8 ;;22  1/4 ;;23      ;;23  3/8 ;;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;;;;;19  3/4 ;;20  5/8 ;;21  7/16;;22  1/4 ;;22  5/8 ;;;;;;;;;;;;;
X;ALTO DE CUELLO ;;C;CRITICAL;;;;;;;1 11/16;;1 11/16;;1 11/16;;1 11/16;;1 11/16;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICAL;;;;;;;12 11/16;;13      ;;13  3/8 ;;13 11/16;;14      ;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICAL;;;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
