D;ANCHO DE TIRO EN PUNTA;;P;CRITICA;;;28  5/8 ;;30  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE BOTA;;P;CRITICA;  3/8 ;  1/4 ;22      ;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO;;P;CRITICA;;;18  1/2 ;;19      ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO EXTERIOR PRETINA SUP;;P;CRITICA;;;20  3/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
H;ALTO DE CINTURA EXTERIOR SUP;;P;CRITICA;  3/8 ;  1/4 ;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO INFERIOR PRETINA EXTERIOR;;P;CRITICA;  3/8 ;  1/4 ;21  5/8 ;;23  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO INTERIOR EXTERIOR PRTEINA ;;P;CRITICA;  3/8 ;  1/4 ;20  3/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;ALTO INTERIOR CINTURA;;P;CRITICA;  3/8 ;;3  3/8 ;;3  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO INFERIOR EXTERIOR PRETINA  ESPALDA ;;P;CRITICA;  3/8 ;  1/4 ;21  5/8 ;;23  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
LL;ANCHO EXTERIOR PRETINA SUP ESPALDA ;;P;CRITICA;  3/8 ;  1/4 ;21  3/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
M;ALTO PRETINA EXTERIOR ESPALDA;;P;CRITICA;;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO INFERIOR PRETINA EXTERIOR ESPALDA ;;P;CRITICA;;;22  3/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO PRETINA INFERIOR;;P;CRITICA;  3/8 ;  1/4 ;21  3/4 ;;23  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO PRETINA  ESPALDA;;P;CRITICA;;;3  3/8 ;;3  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO INFERIOR PRETINA INTERIOR ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;22  3/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
1;LARGO DE  ENTREPIERNA;;P;CRITICA;;;8  3/4 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
