COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXXS;;XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;
A1;ALTO DE PIEZA MANGA  2;;P;CRITICA;  5/16;  5/16;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;
B1;ANCHO DE PIEZA MANGA 3 (SEPERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;12  3/4 ;;13  5/8 ;;14  1/2 ;;15  3/8 ;;16  3/16;;17  1/16;;17 15/16;;;;;;;;;;;;;;;
C1;ANCHO DE PIEZA MANGA 3 (INFERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  1/8 ;;12  5/8 ;;13  1/2 ;;14  5/16;;15  1/8 ;;15 15/16;;16  3/4 ;;17  5/8 ;;;;;;;;;;;;;;;
D1;ALTO DE PIEZA MANGA  3;;P;CRITICA;  5/16;  5/16;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;
E1;ANCHO DE MANGA INFERIOR(SUPERIOR);;P;CRITICA;  3/8 ;  3/8 ;12  1/8 ;;12  5/8 ;;13  7/16;;14  5/16;;15  1/8 ;;15 15/16;;16  3/4 ;;17  5/8 ;;;;;;;;;;;;;;;
F1;ALTO DE MANGA INFERIOR ;;P;CRITICA;  5/16;  1/4 ;11  3/4 ;;11  3/4 ;;11  3/4 ;;11  3/4 ;;11  3/4 ;;11  5/8 ;;11  1/2 ;;10  5/8 ;;;;;;;;;;;;;;;
G1;ANCHO DE MANGA INFERIOR ;;P;CRITICA;  3/8 ;  3/8 ;9  1/2 ;;9  3/4 ;;10  5/16;;10 13/16;;11  3/8 ;;11 15/16;;12  7/16;;13  1/16;;;;;;;;;;;;;;;
H1;LARGO DE CUELLO ;;C;CRITICA;;;13  9/16;;13 13/16;;14  7/16;;14 13/16;;15  7/16;;15 13/16;;16 11/16;;16 15/16;;;;;;;;;;;;;;;
I1;ALTO DE CUELLO RIB;;C;CRITICA;;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;1 15/16;;;;;;;;;;;;;;;
J1;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;26  1/16;;26  9/16;;27  7/16;;28  5/16;;29  3/16;;30  1/16;;31 15/16;;33  1/8 ;;;;;;;;;;;;;;;
K1;ALTO DE TAPETE DE OMBRO A HOMBRO;;C;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  7/16;;18 15/16;;19 15/16;;20 15/16;;21 15/16;;23  7/16;;24 13/16;;26  1/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
