H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  5/8 ;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  1/2 ;;2  5/8 ;;2  3/4 ;;2  7/8 ;;3      ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  3/8 ;;16  1/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;6  9/16;;7  1/16;;7  9/16;;8  1/16;;8 13/16;;9  9/16;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHO  DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;23      ;;24  1/2 ;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;26  3/4 ;;27  1/4 ;;27  3/4 ;;28  1/4 ;;28  3/4 ;;29  1/4 ;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21      ;;22      ;;23      ;;24  1/2 ;;26      ;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24  7/16;;24 15/16;;25  7/16;;25 15/16;;26  7/16;;26 15/16;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS ;;P;CRITICA;  3/8 ;  3/8 ;12  5/8 ;;13  3/8 ;;14  1/8 ;;14  7/8 ;;16  1/8 ;;17  3/8 ;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7 15/16;;8  7/16;;8 15/16;;9  7/16;;9 15/16;;10  7/16;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICA;;;14  3/4 ;;15  1/2 ;;16  1/4 ;;17      ;;17  3/4 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;11  1/2 ;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  3/8 ;;15  1/8 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;11  7/8 ;;12  3/8 ;;12  7/8 ;;13  3/8 ;;14  1/8 ;;14  7/8 ;;;;;;;;;;;;;;;;;;;;;
Z;LARGO DE TAPETE CUELLO;;C;CRITICA;;;11  1/4 ;;11  9/16;;11 15/16;;12  1/4 ;;12  5/8 ;;13      ;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
