C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;;;22  3/8 ;;23  7/8 ;;25  7/8 ;;27  7/8 ;;29  7/8 ;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;17  7/16;;18  7/16;;19  7/16;;20  7/16;;21  7/16;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  3/8 ;  3/8 ;;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/4 ;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;;;5 11/16;;6  1/16;;6  3/8 ;;6  3/4 ;;7  1/8 ;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;3  1/2 ;;3  5/8 ;;3  7/8 ;;4      ;;4  1/4 ;;;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO (PLANTILLA );;P;CRITICA;;;;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;
I;"ANCHO DE MEDIO PECHO A 7"" DESDE HPS";;P;CRITICA;  3/8 ;  3/8 ;;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ;  5/16;;;31  1/8 ;;31  5/8 ;;32  5/8 ;;33  5/8 ;;34  5/8 ;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/4 ;;;;;;;;;;;;;;;
L;"ANCHO DE MEDIO ESPALDA A 7  7/8"" DESDE HPS";;P;CRITICA;  3/8 ;  3/8 ;;;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  1/4 ;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;9      ;;9  1/4 ;;9  7/16;;9  3/4 ;;10      ;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;;;6  9/16;;6 15/16;;7  1/4 ;;7  5/8 ;;8      ;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  1/2 ;;1  5/8 ;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;10  1/8 ;;10  3/8 ;;10  5/8 ;;10  7/8 ;;11  1/8 ;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;14  5/8 ;;15  3/8 ;;16  5/8 ;;17  7/8 ;;19  1/8 ;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;;;13  3/4 ;;14  3/4 ;;15  3/4 ;;16  3/4 ;;17  3/4 ;;;;;;;;;;;;;;;
S;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
T;LARGO DE PUÑO RECTILINEO;;C;CRITICA;;;;;12  7/8 ;;13  7/8 ;;14  7/8 ;;15  7/8 ;;16  7/8 ;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;
W;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL ESPALDA;;P;CRITICA;;;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;5  1/8 ;;;;;;;;;;;;;;;
Z;ABERTURA LATERAL DELANTERO;;P;CRITICA;;;;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;5  1/8 ;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO RECTILINEO ;;C;CRITICA;;;;;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO RECTILINEO ;;C;CRITICA;;;;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;2  3/8 ;;;;;;;;;;;;;;;
A3;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;;;19  5/16;;20  5/16;;21  5/16;;22  5/16;;23  5/16;;;;;;;;;;;;;;;
A4;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;
A5;LARGO DE BANDA INTERIOR;;C;CRITICA;;;;;19  5/16;;20  5/16;;21  5/16;;22  5/16;;23  5/16;;;;;;;;;;;;;;;
A6;ALTO DE BANDA INTERIOR;;C;CRITICA;;;;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;
A7;LARGO DE ENTRETELA DE PECHERA SUPER E INFER;;C;CRITICA;;;;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;;;
A8;ANCHO DE ENTRETELA DE PECHERA SUPERIOR;;C;CRITICA;;;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;
A9;ANCHO DE ENTRETELA DE PECHERA INFERIOR;;C;CRITICA;;;;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;3  1/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
