C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;30      ;;32      ;;34      ;;36      ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;21  3/4 ;;22  3/4 ;;23  1/2 ;;24  1/16;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;9  1/2 ;;9 11/16;;10      ;;10  3/8 ;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  7/16;;7 13/16;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4  3/8 ;;4  5/8 ;;4  3/4 ;;4  7/8 ;;;;;;;;;;;;;;;;;;;
I;"ANCHO DE MEDIO PECHO A 7 7/8"" DESDE HPS";;P;CRITICA;  3/8 ;  3/8 ;20  1/8 ;;21  1/8 ;;21  7/8 ;;22  3/8 ;;;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;34  1/2 ;;35      ;;35  1/2 ;;36      ;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22  1/2 ;;23  1/2 ;;24  1/4 ;;24  3/4 ;;;;;;;;;;;;;;;;;;;
L;"ANCHO DE MEDIO ESPALDA A  8 3/4"" DESDE HPS";;P;CRITICA;  3/8 ;  3/8 ;20  5/8 ;;21  5/8 ;;22  3/8 ;;22  7/8 ;;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;10  1/4 ;;10  3/8 ;;10  5/8 ;;11      ;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/16;;8  7/16;;8 13/16;;9  3/16;;;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1 11/16;;1 11/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;10  5/8 ;;10  7/8 ;;11  1/8 ;;11  1/8 ;;;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;21  1/4 ;;22  3/8 ;;24  1/2 ;;;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;20  1/8 ;;21  1/8 ;;21  3/4 ;;;;;;;;;;;;;;;;;;;
S;LARGO DE PUÑO RECTILINEO;;C;CRITICA;;;17  1/4 ;;18  1/4 ;;19  1/4 ;;19  3/4 ;;;;;;;;;;;;;;;;;;;
T;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;
W;LARGO DE PECHERA ;;C;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA;;C;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;;;;
Y;ABERTURA LATERAL ESPALDA;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;
Z;ABERTURA LATERAL DELANTERO;;P;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;
A1;LARGO DE CUELLO RECTILINEO ;;C;CRITICA;;;19      ;;20      ;;21      ;;22      ;;;;;;;;;;;;;;;;;;;
A2;ALTO DE CUELLO RECTILINEO CTO ESPALDA;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;
A3;ALTO DE PUNTAS DE CUELLO;;C;CRITICA;;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;
A4;LARGO DE BANDA EXTERIOR;;C;CRITICA;;;23  9/16;;24 11/16;;25  9/16;;26  7/16;;;;;;;;;;;;;;;;;;;
A5;ALTO DE BANDA EXTERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;
A6;LARGO DE BANDA INTERIOR;;C;CRITICA;;;23  9/16;;24 11/16;;25  9/16;;26  7/16;;;;;;;;;;;;;;;;;;;
A7;ALTO DE BANDA INTERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;
;MEDIDA ADICIONAL PARA DELANTERO CON TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE TAJO DELANTERO;;P;CRITICA;;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;
V;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;
W1;LARGO DE PECHERA SUPERIOR E INFERIOR;;C;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
X1;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
