B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;14  1/16;;14  5/16;;14 13/16;;15  5/16;;15 13/16;;16  7/16;;17  1/16;;17  7/16;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;7  1/8 ;;7  7/16;;7 15/16;;8  7/16;;8 15/16;;9  7/16;;9 15/16;;10  7/16;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  1/2 ;;16      ;;17      ;;18      ;;19      ;;20  1/2 ;;21  3/4 ;;23      ;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14 13/16;;15  5/16;;16  5/16;;17  5/16;;18  5/16;;19 13/16;;21  1/16;;22  5/16;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;23  3/16;;23  7/16;;23 15/16;;24  7/16;;24 15/16;;25  7/16;;25 15/16;;26  7/16;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;6 11/16;;6 13/16;;7  1/16;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  1/8 ;;3  1/8 ;;3  3/8 ;;3  3/8 ;;3  5/8 ;;3  5/8 ;;3  7/8 ;;3  7/8 ;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;13  3/4 ;;14      ;;14  1/2 ;;15      ;;15  1/2 ;;16  1/8 ;;16  3/4 ;;17  1/8 ;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6  1/2 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  3/8 ;;8  3/4 ;;9  5/16;;9 13/16;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;22  7/16;;22  3/4 ;;23  1/4 ;;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;25  3/4 ;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  1/4 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  5/16;;8  1/2 ;;8 13/16;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;10  5/8 ;;11  1/8 ;;12  1/8 ;;13  1/8 ;;14  7/16;;15  3/4 ;;17  1/8 ;;18  1/4 ;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;10  1/8 ;;10  5/8 ;;11 11/16;;12  3/4 ;;13 15/16;;15  3/16;;16  3/8 ;;17  5/16;;;;;;;;;;;
V;LARGO DE CUELLO;;C;CRITICA;;;16  1/8 ;;16  1/4 ;;16 15/16;;17  5/16;;18      ;;18  3/8 ;;19      ;;19  3/8 ;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;
Y;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;19  7/16;;19 11/16;;20  3/16;;20 11/16;;21  3/16;;21 13/16;;22  7/16;;22 13/16;;;;;;;;;;;
Z;ALTO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  5/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  3/8 ;;15      ;;15  5/8 ;;16      ;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  1/8 ;;13  3/8 ;;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  1/2 ;;16  1/8 ;;16  1/2 ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
