B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  7/16;  7/16;20  3/4 ;;21  3/4 ;;22  3/4 ;;23  3/4 ;;24  3/4 ;;26  3/4 ;;28  3/4 ;;30  3/4 ;;32  3/4 ;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  7/16;  7/16;20  7/16;;21  7/16;;22  7/16;;23  7/16;;24  7/16;;26  7/16;;28  7/16;;30  7/16;;32  7/16;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  7/16;  7/16;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;24  1/2 ;;26  1/2 ;;28  1/2 ;;30  1/2 ;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;8  1/8 ;;8 11/16;;9  3/16;;9 11/16;;10  1/4 ;;10 11/16;;11  1/4 ;;11  3/4 ;;12  5/16;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  5/16;;6  9/16;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;8  7/8 ;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  1/4 ;;2  3/8 ;;2  1/2 ;;2  5/8 ;;2  3/4 ;;2  7/8 ;;3      ;;3  1/8 ;;3  1/4 ;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  3/16;  1/4 ;28 11/16;;29 11/16;;30 11/16;;31 11/16;;32 11/16;;33 11/16;;34 11/16;;35 11/16;;36 11/16;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;7 15/16;;8  7/16;;9      ;;9  1/2 ;;10  3/16;;10  1/2 ;;11      ;;11  1/2 ;;12  1/8 ;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  5/8 ;;8      ;;8  3/8 ;;8  3/4 ;;;;;;;;;
K;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;
L;LARGO SUPERIOR DE MANGA;;P;CRITICA;  7/16;  5/16;22  7/8 ;;23  3/8 ;;23  7/8 ;;24  3/8 ;;24  7/8 ;;25  7/8 ;;26  7/8 ;;27  7/8 ;;28  7/8 ;;;;;;;;;
M;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  7/16;  7/16;15  5/8 ;;16  3/8 ;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  5/8 ;;20  5/8 ;;21  5/8 ;;22  5/8 ;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA;  7/16;  7/16;7  5/16;;7 13/16;;8  5/16;;8 13/16;;9  5/16;;10  1/16;;10 13/16;;11  9/16;;12  5/16;;;;;;;;;
O;LARGO DE PUÑO;;P;CRITICA;  1/4 ;  1/4 ;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9      ;;9  3/4 ;;10  1/2 ;;11  1/4 ;;;;;;;;;
P;ALTO DE PUÑO;;C;CRITICA;  5/16;  5/16;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;4  5/8 ;;;;;;;;;
Q;LARGO DE CUELLO EN COSTURA;;C;CRITICA;  1/4 ;  1/4 ;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;;;;;;;;
R;ALTO DE CUELLO;;C;CRITICA;;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;;;;;;;;
S;LARGO DE CUELLO EN EL CENTRO;;C;CRITICA;;;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;18      ;;18  3/4 ;;19  1/2 ;;20  1/4 ;;;;;;;;;
T;LARGO DE TAPETE DE HOMBRO;;C;CRITICA;;;23  7/8 ;;24  7/8 ;;25  7/8 ;;26  7/8 ;;27  7/8 ;;29  7/8 ;;31  7/8 ;;33  7/8 ;;35  7/8 ;;;;;;;;;
U;ALTO DE TAPEPTE DE HOMBRO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;7  3/8 ;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  7/16;  7/16;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  7/8 ;;22  7/8 ;;24  3/4 ;;26  7/8 ;;28  7/8 ;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  7/16;  7/16;17  3/8 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  3/8 ;;23  3/8 ;;25  3/8 ;;27  3/8 ;;29  3/8 ;;;;;;;;;
5;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  7/16;  7/16;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  3/8 ;;22  3/8 ;;24  3/8 ;;26  3/8 ;;28  3/8 ;;30  3/8 ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
