C;LARGO ESPALDA DESDE EL HPS POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;30  3/16;;31  3/16;;32  3/16;;33  3/16;;34  3/16;;35  3/16;;36  3/16;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;9  1/2 ;;10      ;;10  1/2 ;;10  7/8 ;;11  1/4 ;;12      ;;12  3/4 ;;;;;;;;;;;
E;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/16;  5/16;;;18  1/2 ;;19  1/4 ;;20      ;;21  1/16;;22  1/16;;23  9/16;;25  1/16;;;;;;;;;;;
F;ANCHO DE PECHO EN SISA FRENTE Y ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;19 15/16;;20 15/16;;21 15/16;;23  7/16;;24 15/16;;27  7/16;;29 15/16;;;;;;;;;;;
G;ANCHO DE FALDON FRENTE Y ESPALDA;;P;CRITICA;  3/16;  3/8 ;;;19  5/16;;20  5/16;;21  5/16;;22 13/16;;24  5/16;;26 13/16;;28  5/16;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  1/4 ;;;4  9/16;;4 13/16;;5  1/16;;5  5/16;;5  9/16;;6  1/16;;6  9/16;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  1/4 ;;;1  7/8 ;;2      ;;2  1/8 ;;2  1/4 ;;2  3/8 ;;2  5/8 ;;2 7/8;;;;;;;;;;;
J;LARGO DELANTERO DESDE EL HPS POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;26  1/8 ;;27  1/8 ;;28  1/8 ;;29  1/8 ;;30  1/8 ;;31  1/8 ;;32  1/8 ;;;;;;;;;;;
K;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/16;  5/16;;;15  1/8 ;;15  7/8 ;;16  5/8 ;;17  5/8 ;;18  5/8 ;;20  1/8 ;;21 5/8;;;;;;;;;;;
L;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;;;5 15/16;;6  7/16;;6 15/16;;7  5/16;;7 11/16;;8  9/16;;9 3/8;;;;;;;;;;;
M;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;;;25      ;;25  7/8 ;;26  3/4 ;;27  1/4 ;;27  3/4 ;;27  1/2 ;;26 12/16;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/8 ;;;13 15/16;;14 15/16;;17 15/16;;16 15/16;;17 15/16;;19  9/16;;21  1/16;;;;;;;;;;;
Ñ;ANCHO DE MANGA EN BORDE INFERIOR;;P;CRITICA;  3/16;  3/8 ;;;8  3/16;;8 11/16;;9  3/16;;9 11/16;;10  3/16;;11  3/16;;12  3/16;;;;;;;;;;;
O;LARGO DE CAPUCHA EN CENTRO FRENTE;;C;CRITICA;  3/16;  3/8 ;;;14  1/2 ;;14  7/8 ;;15  1/4 ;;15  5/8 ;;16      ;;16  1/2 ;;17      ;;;;;;;;;;;
P;UNICACION DE ANCHO DE CAPUCHA;;C;CRITICA;  3/16;  3/8 ;;;7  3/16;;7  7/16;;7 11/16;;7 15/16;;8  1/16;;8  5/16;;8  9/16;;;;;;;;;;;
Q;ANCHO DE CAPUCHA;;C;CRITICA;;;;;11  5/16;;11  9/16;;11 13/16;;12  1/16;;12  5/16;;12 13/16;;13  7/16;;;;;;;;;;;
R;ANCHO DE MEDIA LUNA (PARTE MAS ANCHA);;C;CRITICA;;;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;;;;;;;;;;
S;LARGO DE MEDIALUNA EN EL CENTRO;;C;CRITICA;;;;;3 15/16;;4  1/16;;4  3/16;;4  5/16;;4  7/16;;4 11/16;;4 15/16;;;;;;;;;;;
T;LARGO DE TAPETE CAPUCHA;;C;CRITICA;;;;;23  5/16;;24  7/16;;24 13/16;;25 1/4;;25 11/16;;26 3/8;;27  1/16;;;;;;;;;;;
U;ANCHO DE TAPETE CAPUCHA;;C;CRITICA;;;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;; 14/16;;;;;;;;;;;
V;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;;;10 11/16;;10 15/16;;11  5/16;;11  9/16;;11 15/16;;12  7/16;;12 15/16;;;;;;;;;;;
W;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  2/16;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
