C;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;15  5/16;;15 13/16;;16  5/16;;16 15/16;;17 11/16;;18  1/16;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/16;8 11/16;;8 15/16;;9 1/4;;9 1/2;;9 3/4;;10  3/16;;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;18  3/16;;19  7/16;;20 11/16;;21 15/16;;23  7/16;;24 15/16;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;20 1/4;;21  7/16;;21  9/16;;23 11/16;;25 1/8;;26  9/16;;;;;;;;;;;;;;;
G;LARGO ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;28      ;;28  1/2 ;;29      ;;29  1/2 ;;30      ;;30  1/4 ;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8      ;;8 1/4;;8 1/2;;8 3/4;;9    ;;9 1/4;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO DESDE HPS;;P;CRITICA;;;6 3/8;;6  7/8 ;;7 3/8;;7 7/8;;8 3/8;;8 7/8;;;;;;;;;;;;;;;
J;ANCHO DE HOMBROS DELANTERO;;P;CRITICA;  3/16;  3/16;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  3/8 ;;17  1/8 ;;17 1/2;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/16;7  3/4 ;;8  1/16;;8  3/8 ;;8 11/16;;8 15/16;;9  3/8 ;;;;;;;;;;;;;;;
L;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;27  1/16;;27  9/16;;28  1/16;;28  9/16;;29  1/16;;29  5/16;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/4 ;  1/4 ;8  7/16;;8 11/16;;8 15/16;;9  1/16;;9  5/16;;9 3/4;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;14  3/16;;14 11/16;;15  3/16;;15 15/16;;16 13/16;;14  9/16;;;;;;;;;;;;;;;
Ñ;ANCHO DE ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;13  5/16;;13 7/8;;14  7/16;;15  1/8 ;;15 7/8;;16  9/16;;;;;;;;;;;;;;;
O;ANCHO COLLARETA CUELLO;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;
P;LARGO COLLARETA CUELLO;;C;CRITICA;;;22      ;;23      ;;24      ;;25      ;;26      ;;27      ;;;;;;;;;;;;;;;
Q;ANCHO COLLARETA  V  DE ESCOTE;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1    ;;1    ;;;;;;;;;;;;;;;
R;LARGO COLLARETA V DE ESCOTE;;C;CRITICA;;;11  1/2 ;;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14      ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;ROXANA GAMARRA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
