Ñ;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICA;;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE CINTURA ;;P;CRITICA;3/8;  3/16;16  3/4 ;;17  3/4 ;;19      ;;20  1/2 ;;22  1/2 ;;;;;;;;;;;;;;;;;;;;;
P;LARGO SUPERIOR DE MANGA;;P;CRITICA;;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  7/16;;8  5/8 ;;;;;;;;;;;;;;;;;;;;;
Q;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;3/8;  3/16;13  1/8 ;;13  7/8 ;;14  3/4 ;;15  1/2 ;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE BOCA DE MANGA;;P;CRITICA;3/8;  3/16;12  3/4 ;;13  7/16;;14  1/4 ;;15  1/8 ;;16  1/2 ;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ESPALDA ;;C;CRITICA;;;12  1/8 ;;12  1/2 ;;12  7/8 ;;13  1/4 ;;13  5/8 ;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE CUELLO ;;C;CRITICA;;;16  3/8 ;;16  7/8 ;;17  7/16;;17  7/8 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO ;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
