B;CAIDA DE CUELLO ESPALDA ;;P;CRITICA;  3/16;  3/16;1 15/16;;1 15/16;;2  1/16;;2  1/16;;2  3/16;;2  3/16;;2  5/16;;;;;;;;;;;;;
C;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  5/16;  5/16;18  3/16;;18 15/16;;19 3/4;;20 3/4;;21 13/16;;23  5/16;;24 13/16;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  5/16;8 7/8;;9 3/8;;9 7/8;;10  5/16;;10 3/4;;11  7/16;;12  3/16;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;21 1/2;;22 1/2;;23 1/2;;25    ;;26 1/2;;29    ;;31 1/2;;;;;;;;;;;;;
F;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;20 5/8;;21 5/8;;22 5/8;.;24 1/8;;25 5/8;;28 1/8;;30 5/8;;;;;;;;;;;;;
G;LARGO  ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;29  3/4 ;;30  3/4 ;;31  3/4 ;;32  3/4 ;;33  3/4 ;;34  3/4 ;;35  3/4 ;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;6  1/2 ;;6 11/16;;6 15/16;;7  3/16;;7 3/8;;7 7/8;;8 3/8;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  3/16;  3/16;3  5/16;;3  7/16;;3  9/16;;3 11/16;;3 13/16;;4  1/16;;4  5/16;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  5/16;  5/16;16  7/8 ;;17 11/16;;18  7/16;;19  7/16;;20  7/16;;21 15/16;;23  7/16;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  5/16;7  3/16;;7 11/16;;8  1/4 ;;8 11/16;;9  1/8 ;;9  7/8 ;;10  5/8 ;;;;;;;;;;;;;
L;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  3/16;  1/4 ;27  7/8 ;;28  7/8 ;;29  7/8 ;;30  7/8 ;;31  7/8 ;;32  7/8 ;;33  7/8 ;;;;;;;;;;;;;
M;LARGO DE MANGA POR EL CENTRO;;P;CRITICA;  1/4 ;  1/4 ;9  7/16;;10  1/16;;10 11/16;;11  3/16;;11 11/16;;12  3/16;;12 11/16;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/16;  3/16;16  1/16;;17      ;;17 13/16;;18  9/16;;19  9/16;;21  1/16;;22  9/16;;;;;;;;;;;;;
Ñ;ABERTURA DE MANGA;;P;CRITICA;  3/16;  3/16;14 1/8;;14 7/8;;15 3/4;;16 5/8;;17 1/2;;19    ;;20 1/2;;;;;;;;;;;;;
O;ANCHO DE MEDIA LUNA EN PARTE SUPERIOR;;P;CRITICA;  3/8 ;  3/8 ;7  1/16;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  9/16;;9  1/16;;;;;;;;;;;;;
P;ALTO DE MEDIA LUNA EN CENTRO;;P;CRITICA;  3/8 ;  3/8 ;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;
Q;LARGO DE CUELLO;;P;CRITICA;  3/16;  3/16;17  1/4 ;;17 13/16;;18  9/16;;19  3/16;;19 7/8;;21  3/16;;22  1/2 ;;;;;;;;;;;;;
R;ANCHO DE CUELLO;;P;CRITICA;  3/16;  3/16;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;
S;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;10  7/16;;10 11/16;;11      ;;11  3/16;;11  9/16;;12  1/16;;12  5/8 ;;;;;;;;;;;;;
T;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
