B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  3/4 ;;;;;;;;;;;;;;;;;;;;;
C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  5/16;;16 13/16;;17  7/16;;18  3/16;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO;;P;CRITICA;;;7  3/8 ;;7 13/16;;8  1/4 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;
E;ANCHO PECHO EN SISA DELANTERO Y EPALDA;;P;CRITICA;  3/8 ;  3/8 ;19 15/16;;21  1/16;;22  7/16;;23 15/16;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;22  1/16;;22 15/16;;23 15/16;;25  3/16;;;;;;;;;;;;;;;;;;;;;
G;LARGO CUERPO  DELANTERO;;P;CRITICA;  5/16;  5/16;23  3/4 ;;24  1/4 ;;24  3/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;
J;ANCHO  DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  1/8 ;;17  3/4 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA  ESPALDA;;P;CRITICA;;;8      ;;8  7/16;;8 13/16;;9  7/16;;;;;;;;;;;;;;;;;;;;;
L;LARGO CUERPO  ESPALDA;;P;CRITICA;  5/16;  5/16;24  1/2 ;;25      ;;25  1/2 ;;26      ;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  5/16;20 13/16;;21  5/16;;21 11/16;;22  1/16;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;14  1/2 ;;15  7/16;;16  7/16;;17  9/16;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  7/8 ;;10  3/8 ;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE PRETINA RIB;;C;CRITICA;;;40  3/4 ;;42  1/2 ;;44  1/2 ;;47      ;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE PRETINA RIB;;C;CRITICA;;;5  7/8 ;;5  7/8 ;;5  7/8 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE PUÑO RIB EN COSTURA;;C;CRITICA;;;8      ;;8  1/2 ;;9  1/4 ;;10      ;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE PUÑO RIB CENTRO;;C;CRITICA;;;7  7/8 ;;8  3/8 ;;9  1/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE PUÑO RIB;;C;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE CUELLO RIB;;C;CRITICA;;;16  1/8 ;;16  5/8 ;;17  3/16;;17  7/8 ;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO RIB;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE;;C;CRITICA;;;13  1/4 ;;13  5/8 ;;14      ;;14  1/2 ;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
Y;LARGO DE INSERT;;C;CRITICA;;;2  5/16;;2  5/16;;2  5/16;;2  5/16;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE INSERT;;C;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
