C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22  1/2 ;;;;24  1/2 ;;;;26  1/2 ;;;;28 1/2;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/2 ;  1/2 ;18  5/8 ;;;;19  5/8 ;;;;20  5/8 ;;;;21 5/8;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;8  7/8 ;;;;9  1/8 ;;;;9  3/8 ;;;;9 3/4;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7      ;;;;7  3/8 ;;;;7  3/4 ;;;;8 1/8;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;4      ;;;;4  1/4 ;;;;4  3/8 ;;;;4 5/8;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16;  1/4 ;33      ;;;;34      ;;;;35      ;;;;36    ;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;19  3/8 ;;;;20  3/8 ;;;;21  3/8 ;;;;22 3/8;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;9  5/8 ;;;;9  7/8 ;;;;10  1/8 ;;;;10 1/2;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/8 ;;;;8  1/2 ;;;;8  7/8 ;;;;9 1/4;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;;;1  1/2 ;;;;1  5/8 ;;;;1 3/4;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;11  5/8 ;;;;11  7/8 ;;;;12  1/8 ;;;;12 3/8;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;;;20  1/2 ;;;;21  3/8 ;;;;22 3/8;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;;;17  3/8 ;;;;18  3/8 ;;;;19 1/4;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;18      ;;;;18  7/8 ;;;;19  3/4 ;;;;20 3/4;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;2  1/8 ;;;;2  1/8 ;;;;2  1/8 ;;;;2  1/8 ;;;;;;;;;;;;;
R;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  1/4 ;;;;13  5/8 ;;;;14  1/8 ;;;;14 1/2;;;;;;;;;;;;;
S;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1      ;;;;1      ;;;;1      ;;;;1      ;;;;;;;;;;;;;
T;ALTO DE BOLSILLO CENTRO;;C;;;;7      ;;;;7      ;;;;7  1/4 ;;;;7 1/4;;;;;;;;;;;;;
U;ANCHO DE BOLSILLO;;C;;;;4  7/8 ;;;;4  7/8 ;;;;5  1/8 ;;;;5 1/8;;;;;;;;;;;;;
V;ALTO DE BOLSILLO LATERAL;;C;;;;6  1/8 ;;;;6  1/8 ;;;;6  3/8 ;;;;6 3/8;;;;;;;;;;;;;
W;ANCHO DE ENTRETELA DE BOLSILLO;;C;;;;5      ;;;;5      ;;;;5  1/4 ;;;;5 1/4;;;;;;;;;;;;;
X;ALTO DE ENTRETELA DE BOLSILLO;;C;;;;1  3/8 ;;;;1  3/8 ;;;;1  3/8 ;;;;1  3/8 ;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;7  3/8 ;;;;7  3/8 ;;;;7  3/8 ;;;;7  3/8 ;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;17      ;;;;18      ;;;;19      ;;;;20    ;;;;;;;;;;;;;
3;ALTO DE MEDID PECHO ESPALDA;;P;CRITICA;;;8  1/4 ;;;;8  1/4 ;;;;8  1/4 ;;;;8  1/4 ;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;17  3/4 ;;;;18  3/4 ;;;;19  3/4 ;;;;20 3/4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CUELLO 87% LA PRODUCICON = AL PROTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
