C;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;4    ;;4 1/8;;4 1/4;;4 3/8;;4 1/2;;;;;;;;;;;;;;;;;;;
D;LARGO DE CUERPO DELANTERO;;P;CRITICA;22 3/8;;22 7/8;;23 3/8;;23 7/8;;24 3/8;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO ;;P;CRITICA;26 5/8;;28 5/8;;30 5/8;;32 5/8;;34 5/8;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO;;P;CRITICA;27 1/4;;30 1/2;;33 1/4;;36  1/8 ;;38 7/8;;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;10 1/8;;10 1/2;;11    ;;11 1/2;;12    ;;;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;23  1/16;;25  1/16;;27  1/16;;29  1/16;;31  1/16;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;1    ;;1    ;;1 1/8;;1 1/8;;1 1/4;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;7 7/8;;8 1/8;;8 1/2;;8 7/8;;9 1/4;;;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;21 3/8;;21 7/8;;22 3/8;;22 13/16;;23 1/4;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA;;P;CRITICA;26 5/8;;28 5/8;;30 5/8;;32 5/8;;34 5/8;;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;27 1/4;;30 1/2;;33 1/4;;36 1/8;;38 7/8;;;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;10 1/8;;10 5/8;;11    ;;11 1/2;;12    ;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;20  1/16;;20 13/16;;21 13/16;;22 13/16;;23 13/16;;;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;19 3/4;;20 3/4;;21 3/4;;22 3/4;;23 3/4;;;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;7    ;;7 1/2;;8    ;;8 1/2;;9    ;;;;;;;;;;;;;;;;;;;
R;LARGO DE REFUERZO;;C;CRITICA;3  1/16;;3  1/16;;3  1/16;;3  5/16;;3  5/16;;;;;;;;;;;;;;;;;;;
S;ANCHO DE REFUERZO;;C;CRITICA;4 5/8;;4  9/16;;4 3/8;;4 7/8;;4 3/4;;;;;;;;;;;;;;;;;;;
T;LARGO DE FUNDILLO;;C;CRITICA;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;;;;;;;;;;;;;;;;;;
U;ANCHO DE FUNDILLO;;C;CRITICA;2 1/2;;2 1/2;;2 1/2;;2 3/4;;2 3/4;;;;;;;;;;;;;;;;;;;
V;ANCHO DE CADERA ESPALDA;;P;CRITICA;19 1/2;;21 1/2;;23 1/2;;25 1/2;;27 1/2;;;;;;;;;;;;;;;;;;;
X;LARGO PZA INFERIOR ESPALDA;;P;CRITICA;17    ;;17 3/4;;18 3/4;;19 3/4;;20 3/4;;;;;;;;;;;;;;;;;;;
W;ANCHO DE CINTURA ESPALDA;;P;CRITICA;17 3/8;;19 3/8;;21 3/8;;23 3/8;;25 3/8;;;;;;;;;;;;;;;;;;;
Y;ANCHO DE CADERA DELANTERO;;P;CRITICA;19 3/4;;21 3/4;;23 13/16;;25 13/16;;27 13/16;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE CINTURA DELANTERO;;P;CRITICA;17  5/16;;19  5/16;;21  5/16;;23  5/16;;25  5/16;;;;;;;;;;;;;;;;;;;
Z1;LARGO PZA INFERIOR DELANTERO;;P;CRITICA;12  7/16;;12 15/16;;13 11/16;;14  7/16;;15  3/16;;;;;;;;;;;;;;;;;;;
Z2;LARGO DE COLLARETA ESCOTE;;C;CRITICA;27 3/4;;28 3/8;;29 3/8;;30 1/4;;31 1/8;;;;;;;;;;;;;;;;;;;
Z3;ANCHO DE COLLARETA ESCOTE;;C;CRITICA;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;"Molde tiene hiking en escote delantero de 1/4""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
