C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;5 /16;17 1/2;;18 1/4;;19    ;;19 3/4;;20 1/2;;21 3/8;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  1/2 ;5 /16;19    ;;19 3/4;;20 1/2;;21 1/4;;22    ;;22 3/4;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;5 /16;7 3/4;;8 1/4;;8 7/8;;9 3/8;;9 7/8;;10 3/8;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  1/2 ;5 /16;9 1/2;;10 1/8;;10 1/2;;11 1/8;;11 1/2;;12    ;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA;  1/2 ;5 /16;22 1/8;;23 1/8;;24 3/8;;25 7/8;;27 1/2;;29 1/4;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  1/2 ;5 /16;21    ;;22    ;;23 1/4;;24 3/4;;26 3/8;;28 1/8;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6    ;;6 1/4;;6 1/2;;6 3/4;;7    ;;7 1/4;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;3 1/4;;3 1/2;;3 3/4;;4    ;;4 1/4;;4 1/2;;;;;;;;;;;;;;;
K;LARGO DE TAJO DE PECHERA ;;P;CRITICA;;;5    ;;5    ;;5    ;;5    ;;5    ;;5    ;;;;;;;;;;;;;;;
L;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7 3/4;;8    ;;8 1/4;;8 1/2;;8 3/4;;9    ;;;;;;;;;;;;;;;
M;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;1 7/8;;1 7/8;;1 7/8;;1 7/8;;1 7/8;;1 7/8;;;;;;;;;;;;;;;
N;LARGO DE MANGA ;;P;CRITICA;;;10 3/4;;10 7/8;;11 1/4;;11 5/8;;12    ;;12 3/8;;;;;;;;;;;;;;;
O;ANCHO DE MANGA EN BICEP;;P;CRITICA;;;16 3/4;;17 1/4;;18    ;;19    ;;20    ;;21    ;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA ;;P;CRITICA;;;14 5/8;;15 1/8;;15 7/8;;16 7/8;;17 7/8;;18 7/8;;;;;;;;;;;;;;;
Q;LARGO DE PECHERA SUPERIOR;;C;CRITICA;;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;;;;;;;;;;;;;;
R;ANCHO DE PECHERA  SUPERIOR;;C;CRITICA;  1/2 ;5 /16;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;;;;;;;;;;;;;;
S;LARGO PECHERA INTERIOR;;C;CRITICA;;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;7 1/2;;;;;;;;;;;;;;;
T;ANCHO DE PECHERA  INFERIOR;;C;CRITICA;  1/2 ;5 /16;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;2 1/4;;;;;;;;;;;;;;;
U;ANCHO DE COLLARETA;;C;CRITICA;;;24 7/8;;25 5/8;;26 1/2;;27 1/4;;28 1/8;;28 7/8;;;;;;;;;;;;;;;
V;ALTO DE COLLARETA;;C;CRITICA;;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;1 3/8;;;;;;;;;;;;;;;
W;ANCHO DE TAPETE;;C;CRITICA;;;10    ;;10 1/4;;10 1/2;;10 3/4;;11    ;;11 1/4;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE ESCOTE ESPALDA;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
