A;ABERTURA DE ESCOTE ESPALDA DE BORDE A CENTRO;;P;CRITICA;;;4  1/2 ;;4  5/8 ;;4 13/16;;5      ;;5  1/8 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA DE SISA A CENTRO;;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8 11/16;;9  1/16;;9  7/16;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9  1/4 ;;10      ;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA  DE BORDE A CENTRO;;P;CRITICA;  5/16;  3/8 ;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  5/8 ;;12  3/8 ;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO ESPALDA  A  LINEA IMAGINARIA;;P;CRITICA;  5/16;  1/4 ;25  5/16;;25 13/16;;26  5/16;;26 13/16;;27  5/16;;27 13/16;;;;;;;;;;;;;;26  5/16;;26 13/16;;27  5/16;;27 13/16;;28  5/16
G;ANCHO DE FALDON  ESPALDA  DE BORDE A CENTRO;;P;CRITICA;  5/16;  3/8 ;10  5/16;;10 13/16;;11  5/16;;11 13/16;;12  9/16;;13  5/16;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;8  9/16;;8 13/16;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;6 13/16;;6 15/16;;7  1/16;;7  3/16;;7  5/16;;7  7/16;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  3/8 ;;17  1/8 ;;17  7/8 ;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;;;6  9/16;;7  1/16;;7  9/16;;8  1/16;;8 13/16;;9  9/16;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO  DELANTERO  A  LINEA IMAGINARIA;;P;CRITICA;  5/16;  1/4 ;24  7/8 ;;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;27  7/8 
M;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;18  1/16;;19  1/16;;20  1/16;;21  1/16;;22  9/16;;24  1/16;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON  DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21      ;;22      ;;23      ;;24  1/2 ;;26      ;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE CUELLO EN BORDE;;C;CRITICA;;;23      ;;23  5/8 ;;24  1/4 ;;24  7/8 ;;25  7/16;;26      ;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO EN CENTRO;;C;CRITICA;;;24  3/16;;24  3/4 ;;25  3/8 ;;26      ;;26  9/16;;27  1/8 ;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO  DE CUELLO;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  7/16;;13  3/4 ;;14  1/8 ;;14  7/16;;14  3/4 ;;15  1/16;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;
X;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;;;;;;;;;;;;;;;;;;;;;
Y;ANCHO DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  5/8 ;;14  3/8 ;;15  1/8 ;;15  7/8 ;;17  1/4 ;;18  5/8 ;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13  1/2 ;;14  1/4 ;;15      ;;16      ;;17      ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
