C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ; 3/8;15 5/8;;15 7/8;;16 3/8;;16 7/8;;17 1/2;;18    ;;18 3/4;;19;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA ;;P;CRITICA;  3/8 ; 3/8;16    ;;16 1/4;;16 3/4;;17 1/4;;17 3/4;;18 3/8;;19;;19 3/8;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA; 3/8; 1/4;6 1/2;;6 5/8;;7 1/8;;7 3/4;;8 1/8;;8 5/8;;9 1/8;;9 3/4;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA; 3/8; 1/4;7 1/8;;7 3/8;;7 7/8;;8 3/8;;8 7/8;;9 3/8;;9 7/8;;10 3/8;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA; 3/8; 3/8;16 5/8;;17 1/8;;18 1/8;;19 1/8;;20 1/8;;21 5/8;;22 7/8;;24 1/8;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA; 3/8; 3/8;17 3/8;;17 7/8;;18 7/8;;19 7/8;;20 7/8;;22 3/8;;23 5/8;;24 7/8;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;7    ;;7 1/8;;7 3/8;;7 5/8;;7 7/8;;8 1/8;;8 3/8;;8 5/8;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;3 3/8;;3 3/8;;3 5/8;;3 5/8;;3 7/8;;3 7/8;;4 1/8;;4 1/8;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7 1/2;;7 5/8;;7 7/8;;8 1/8;;8 3/8;;8 5/8;;8 7/8;;9 1/8;;;;;;;;;;;
L;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;1    ;;1    ;;1    ;;1    ;;1    ;;1    ;;1    ;;1    ;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;;;8 3/8;;8 1/2;;8 3/4;;9    ;;9 1/4;;9 3/8;;9 5/8;;9 7/8;;;;;;;;;;;
N;ANCHO DE MANGA EN BICEP;;P;CRITICA;;;12 3/8;;12 7/8;;14    ;;15    ;;16    ;;17    ;;18 1/8;;19 1/4;;;;;;;;;;;
O;ABERTURA DE MANGA ;;P;CRITICA;;;11 5/8;;12 1/8;;13 1/4;;14 1/4;;15 1/4;;16 1/4;;17 1/4;;18 3/8;;;;;;;;;;;
P;ALTO DE BOLSILLO;;P;CRITICA;;;5 5/8;;5 5/8;;5 7/8;;5 7/8;;6 1/8;;6 1/8;;6 3/8;;6 5/8;;;;;;;;;;;
Q;ANCHO DE BOLSILLO;;C;CRITICA;;;4 3/4;;4 3/4;;5    ;;5    ;;5 1/4;;5 1/4;;5 1/2;;5 3/4;;;;;;;;;;;
R;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;20 5/8;;20 7/8;;21 3/8;;21 7/8;;22 3/8;;23 1/8;;23 3/4;;24 3/8;;;;;;;;;;;
S;ANCHO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;1    ;;1    ;;1    ;;1    ;;1    ;;1    ;;1    ;;1    ;;;;;;;;;;;
T;ALTO DE CUELLO;;C;CRITICA;;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;;;;;;;;;;
U;LARGO DE CUELLO;;C;CRITICA;;;16 7/8;;17    ;;17 3/4;;18 1/8;;18 7/8;;19 1/4;;19 7/8;;20 5/8;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
