COD.;DESCRIPCIÓN;;P/C;CRITICAL;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA ;;P;CRITICAL;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO ESPALDA;;P;CRITICAL;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;14      ;;14  1/2 ;;15      ;;15  5/8 ;;16  3/8 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICAL;  5/16;  3/8 ;8  3/8 ;;8  3/4 ;;9  1/8 ;;9  1/2 ;;10      ;;10  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;51  3/8 ;;51  7/8 ;;52  3/8 ;;52  7/8 ;;53  3/8 ;;53  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO  ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;17  1/2 ;;18  1/2 ;;19  1/2 ;;20  3/4 ;;22  5/8 ;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;22  5/8 ;;23  5/8 ;;24  1/2 ;;25  3/4 ;;27  1/2 ;;28  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICAL;;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICAL;;;5      ;;5  1/4 ;;5  3/8 ;;5  1/2 ;;5  3/4 ;;5  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICAL;  3/8 ;  3/8 ;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  1/2 ;;16  3/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICAL;  5/16;  3/8 ;6  7/8 ;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  5/8 ;;9      ;;;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHO  DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;17  1/2 ;;18  1/2 ;;19  1/2 ;;20  7/8 ;;22  5/8 ;;23  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICAL;  5/16;  1/4 ;50  3/4 ;;51  1/4 ;;51  3/4 ;;52  1/4 ;;52  3/4 ;;53      ;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE FALDON DELANTERO ;;P;CRITICAL;  3/8 ;  3/8 ;23  3/4 ;;24  3/4 ;;25  5/8 ;;26  7/8 ;;28  5/8 ;;29  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;8  1/2 ;;8  7/8 ;;9      ;;9  3/8 ;;9  1/2 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS ;;P;CRITICAL;  3/8 ;  3/8 ;13  5/8 ;;14  1/2 ;;15  1/8 ;;16  1/8 ;;17      ;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;12  5/16;;13  1/16;;13 13/16;;14  5/8 ;;15  1/2 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA DE CUELLO;;C;CRITICAL;;;29      ;;29 13/16;;30  1/2 ;;31  1/8 ;;32  1/8 ;;32  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA DE CUELLO;;C;CRITICAL;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICAL;;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;7  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  1/2 ;;16  3/8 ;;16  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICAL;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;13  1/8 ;;13  5/8 ;;14  1/8 ;;14  3/4 ;;15  1/2 ;;15  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Z1;"ANCHO DE CABEZA DE MANGA A 3""";;P;CRITICAL;;;8  1/8 ;;8  7/16;;8  3/4 ;;9  1/8 ;;9  7/16;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE PRESILLA;;C;CRITICAL;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE PRESILLA;;C;CRITICAL;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
5;UBICACIÓN DE CINTURA ESPALDA;;P;CRITICAL;;;16  3/4 ;;17      ;;17  1/4 ;;17  1/2 ;;17  3/4 ;;18      ;;;;;;;;;;;;;;;;;;;;;;;;;
A1;ANCHO DE CINTURA ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;16  3/4 ;;17  3/4 ;;18  3/4 ;;20      ;;21  3/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
6;UBICACIÓN DE CADERA  ESPALDA;;P;CRITICAL;;;25      ;;25  1/4 ;;25  1/2 ;;25  3/4 ;;26      ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE CADERA  ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/2 ;;24  1/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
7;UBICACIÓN DE CINTURA DELANTERA;;P;CRITICAL;;;15  5/8 ;;15  7/8 ;;16  1/8 ;;16  3/8 ;;16  5/8 ;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE CINTURA DELANTERA;;P;CRITICAL;  3/8 ;  3/8 ;16  3/4 ;;17  3/4 ;;18  3/4 ;;20      ;;21  3/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
8;UBICACIÓN DE CADERA DELANTERA;;P;CRITICAL;;;24      ;;24  1/4 ;;24  1/2 ;;24  3/4 ;;25      ;;25  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
D1;ANCHO DE CADERA DELANTERA;;P;CRITICAL;  3/8 ;  3/8 ;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  1/2 ;;24  1/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
