C;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  1/8 ;  1/8 ;16 7/8;;17 5/8;;18 3/8;;18 7/8;;19 3/8;;19 7/8;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;11 1/2;;12    ;;12 1/2;;13    ;;13 1/2;;14    ;;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;20 1/2;;21    ;;22    ;;23 1/2;;25    ;;26 1/2;;;;;;;;;;;;;;;
F;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/16;  3/16;20 1/4;;20 3/4;;21 3/4;;23 1/4;;27 3/4;;26 1/4;;;;;;;;;;;;;;;
G;LARGO  ESPALDA DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;28 1/2;;29 1/2;;30 1/2;;31 1/2;;32 1/2;;33 1/2;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/8 ;  1/8 ;7  1/16;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;9  5/16;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  1/8 ;  1/8 ;3 13/16;;4  1/16;;4  5/16;;4  9/16;;4 13/16;;5  1/16;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/8 ;  1/8 ;16 3/8;;17 1/8;;17 7/8;;18 3/8;;18 7/8;;19 3/8;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;;;10 5/8;;11 1/8;;11 5/8;;12 1/8;;12 5/8;;13 1/8;;;;;;;;;;;;;;;
L;LARGO DELANTERO DESDE EL HPS;;P;CRITICA;  1/4 ;  1/4 ;27 1/2;;28 1/2;;29 1/2;;30 1/2;;31 1/2;;32 1/2;;;;;;;;;;;;;;;
M;LARGO DE CUELLO;;P;CRITICA;;;16 11/16;;17 11/16;;18 5/8;;19  9/16;;20  9/16;;21 5/8;;;;;;;;;;;;;;;
N;ANCHO DE CUELLO;;P;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;
Ñ;LARGO DE TAPETE HOMBRO / HOMBRO;;C;CRITICA;;;22  5/16;;23 1/8;;23 15/16;;24 1/2;;25 1/8;;25 11/16;;;;;;;;;;;;;;;
O;ANCHO DE TAPETE HOMBRO / HOMBRO;;C;CRITICA;;;  7/8 ;; 7/8;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;
P;LARGO COLLARETA SISA;;C;CRITICA;;;32 1/8;;32 7/8;;34    ;;35 1/2;;36 7/8;;38  3/16;;;;;;;;;;;;;;;
Q;ANCHO COLLARETA SISA;;C;CRITICA;;;1    ;;1      ;;1    ;;1    ;;1    ;;1    ;;;;;;;;;;;;;;;
R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;;;;;;;;;;;;;;;;;;;;;MODELISTA: ROXANA GAMARRA;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
