D;ANCHO DE FALDON DELANTERO/ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;;;18  7/8 ;;19  5/8 ;;20  3/8 ;;21  3/8 ;;22  3/8 ;;;;;;;;;;;;;;;;;
E;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;17      ;;17  1/2 ;;18      ;;18  1/2 ;;19      ;;;;;;;;;;;;;;;;;
F;SISA RECTA DELANTERO  ;;P;CRITICA;;;;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9      ;;9  1/2 ;;;;;;;;;;;;;;;;;
G;ANCHO DE MEDIO PECHO DELANTERO A 6 5/8 DE PUNTA DE ESCOTE;;P;CRITICA;  3/8 ;  3/8 ;;;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;3      ;;3  1/4 ;;3  1/2 ;;3 3/4;;4      ;;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;30  5/8 ;;31  1/8 ;;31  7/8 ;;32  5/8 ;;33  3/8 ;;;;;;;;;;;;;;;;;
K;"ANCHO DE MEDIO PECHO ESPALDA A 8""DE PUNTA DE ESCOTE";;P;CRITICA;  3/8 ;  3/8 ;;;16      ;;16  1/2 ;;17      ;;17  1/2 ;;18      ;;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;18      ;;18  1/2 ;;19      ;;19  1/2 ;;20      ;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;;;;;9  1/8 ;;9  1/2 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
P;ANCHO DE BICEP EN PUNTA;;P;CRITICA;  3/8 ;  3/8 ;;;15  3/8 ;;16      ;;16  5/8 ;;17  3/8 ;;18  1/4 ;;;;;;;;;;;;;;;;;
P1;ANCHO DE BICEP A 1 1/2 BAJO SISA;;P;CRITICA;  3/8 ;  3/8 ;;;13  3/4 ;;14  1/2 ;;15  1/4 ;;16      ;;16  3/4 ;;;;;;;;;;;;;;;;;
Q;ANCHO DE ANTEBRAZO A 9 5/8 EN LINEA RECTA  DESDE SISA;;P;CRITICA;  3/8 ;  3/8 ;;;11  5/8 ;;12  1/8 ;;12  5/8 ;;13  1/8 ;;13  5/8 ;;;;;;;;;;;;;;;;;
R;ANCHO DE CODO A 4 1/4 BORDE ABERTURA;;P;CRITICA;  3/8 ;  1/4 ;;;11      ;;11  1/2 ;;12      ;;12  1/2 ;;13      ;;;;;;;;;;;;;;;;;
S;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;9  3/4 ;;9  3/4 ;;10  1/4 ;;10  3/4 ;;11  1/4 ;;;;;;;;;;;;;;;;;
T;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;24  1/4 ;;24  5/8 ;;25      ;;25  3/8 ;;25  3/4 ;;;;;;;;;;;;;;;;;
U;ANCHO DE  CUELLO ;;C;CRITICA;  1/4 ;  1/4 ;;;15      ;;15  1/2 ;;16  1/8 ;;17      ;;17  1/2 ;;;;;;;;;;;;;;;;;
V; ALTO CUELLO;;C;CRITICA;  1/4 ;  1/4 ;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;
W;ANCHO DE PUÑO;;C;CRITICA;  1/4 ;  1/4 ;;;8  1/4 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;;;;;;;;;;;;;;;;
X;ANCHO DE PUÑO EN QUIEBRE;;C;CRITICA;  1/4 ;  1/4 ;;;8      ;;8      ;;8  1/2 ;;9      ;;9  1/2 ;;;;;;;;;;;;;;;;;
Y; ALTO DE PUÑO;;C;CRITICA;  1/4 ;  1/4 ;;;4  1/2 ;;4  1/2 ;;4  1/2 ;;4  1/2 ;;4  1/2 ;;;;;;;;;;;;;;;;;
Z;ANCHO DE TAPETE ;;C;CRITICA;;;;;11  3/4 ;;12      ;;12  1/4 ;;12  1/2 ;;12  3/4 ;;;;;;;;;;;;;;;;;
1;ALTO DE TAPETE ;;C;CRITICA;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
