C;ANCHO DE CINTURA DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;24  5/8 ;;26  5/8 ;;28  5/8 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE CADERA DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;27  1/2 ;;29  1/2 ;;31  1/2 ;;;;;;;;;;;;;;;;;;;
E;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;;;28  7/8 ;;30  7/8 ;;32  7/8 ;;;;;;;;;;;;;;;;;;;
F;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;;;16      ;;16  1/2 ;;17      ;;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;;;9  1/8 ;;9  3/4 ;;10  1/2 ;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;;;7  5/16;;7  9/16;;7 13/16;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;5 11/16;;5 13/16;;6  1/16;;;;;;;;;;;;;;;;;;;
J;ALTO DE CADERA DELANTERO;;P;CRITICA;;;;;24  1/16;;24  5/16;;24  9/16;;;;;;;;;;;;;;;;;;;
K;ALTO DE CINTURA DELANTERO;;P;CRITICA;;;;;15  9/16;;15 13/16;;16  1/16;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;50  1/2 ;;51  1/8 ;;51  3/4 ;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;;;16      ;;16  1/2 ;;17      ;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;29  3/16;;31  3/16;;33  3/16;;;;;;;;;;;;;;;;;;;
O;SISA RECTA ESPALDA;;P;CRITICA;;;;;10      ;;10  5/8 ;;11  3/8 ;;;;;;;;;;;;;;;;;;;
P;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;;;7  3/16;;7  7/16;;7 11/16;;;;;;;;;;;;;;;;;;;
Q;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1 11/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;;;
R;ALTO DE CINTURA ESPALDA;;P;CRITICA;;;;;16  5/16;;16  9/16;;16 13/16;;;;;;;;;;;;;;;;;;;
S;ALTO CADERA ESPALDA;;P;CRITICA;;;;;24  3/4 ;;25      ;;25  1/4 ;;;;;;;;;;;;;;;;;;;
T;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;24  1/8 ;;24  1/4 ;;24  3/8 ;;;;;;;;;;;;;;;;;;;
U;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;18  5/8 ;;20  1/4 ;;21 13/16;;;;;;;;;;;;;;;;;;;
V;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;10  5/16;;10 15/16;;11  1/2 ;;;;;;;;;;;;;;;;;;;
W;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;;;30  7/8 ;;31  5/8 ;;32  1/2 ;;;;;;;;;;;;;;;;;;;
X;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;
Y;LARGO DE COLLARETA DE PRESILLA;;C;CRITICA;;;;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;;;;;
Z;ALTO DE COLLARETA DE PRESILLA;;C;CRITICA;;;;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;
A1;ANCHO DE PECHO ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;;;24  7/8 ;;26  7/8 ;;28  7/8 ;;;;;;;;;;;;;;;;;;;
A2;ANCHO DE CINTURA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;24 15/16;;26 15/16;;28 15/16;;;;;;;;;;;;;;;;;;;
A3;ANCHO DE CADERA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;28      ;;30      ;;32      ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
