P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6  1/2 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  5/16;;8  3/4 ;;9  5/16;;9 13/16;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;22  3/4 ;;23      ;;23  1/2 ;;24      ;;24  1/2 ;;25      ;;.25.5;;26      ;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  3/8 ;;7  1/2 ;;7  3/4 ;;8      ;;8  1/4 ;;8  7/16;;8  5/8 ;;8 15/16;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;10  7/8 ;;11  3/8 ;;12  3/8 ;;13  3/8 ;;14  3/4 ;;16      ;;17  3/8 ;;18  1/2 ;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;10  1/4 ;;10  3/4 ;;11 13/16;;12 13/16;;14  1/16;;15  1/4 ;;16  7/16;;17  3/8 ;;;;;;;;;;;;;;;
V;LARGO DE CUELLO;;C;CRITICA;;;16  3/16;;16  3/8 ;;17  1/16;;17  7/16;;18  1/16;;18  7/16;;19  1/8 ;;19  1/2 ;;;;;;;;;;;;;;;
W;ALTO DE CUELLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;19  3/8 ;;19  5/8 ;;20  1/8 ;;20  5/8 ;;21  3/16;;21 13/16;;22  7/16;;22 13/16;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE HOMBRO A HOMBRO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;4  3/8 ;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  5/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  3/8 ;;15      ;;15  5/8 ;;16      ;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  1/16;;5  1/16;;5  1/16;;5  1/16;;5  1/16;;5  1/16;;5  1/16;;5  1/16;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  1/8 ;;13  3/8 ;;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  1/2 ;;16  1/8 ;;16  1/2 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
