C;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;2 5/8;;2 7/8;;3 1/8;;3 3/8;;3 1/2;;3 5/8;;;;;;;;;;;;;;;;;
D;LARGO DE CUERPO DELANTERO;;P;CRITICA;19 1/4;;19 5/8;;20    ;;20 1/2;;20 3/4;;21    ;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO ;;P;CRITICA;22  3/16;;23  3/16;;24  3/16;;25 3/4;;26 3/4;;27 3/4;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO;;P;CRITICA;20    ;;21 5/8;;23 1/4;;25 1/2;;27 1/8;;28 7/8;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;8    ;;8 3/8;;8 5/8;;9    ;;9 1/2;;9 5/8;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;22    ;;22 3/4;;23 1/2;;24 1/4;;25 1/4;;26 1/4;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;1    ;;1    ;;1 1/4;;1 1/4;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;7 3/4;;8    ;;8 1/4;;8 1/2;;8 5/8;;8 3/4;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;18 5/8;;19    ;;19 3/8;;19 7/8;;20 1/8;;20 3/8;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA;;P;CRITICA;22  3/16;;23  3/16;;24  3/16;;25 3/4;;26 3/4;;27 3/4;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;20    ;;21 5/8;;23 1/4;;25 1/2;;27 1/8;;28 7/8;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;8    ;;8 3/8;;8 5/8;;9    ;;9 1/2;;9 5/8;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;15 3/8;;16 1/8;;16 7/8;;17 5/8;;18 1/2;;18 7/8;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;15 5/8;;16 3/8;;17 1/8;;17 7/8;;18 5/8;;19 1/8;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;5 7/8;;6 1/8;;6 3/8;;6 3/4;;7    ;;7 1/8;;;;;;;;;;;;;;;;;
R;LARGO DE REFUERZO;;C;CRITICA;3    ;;3    ;;3    ;;3    ;;3 1/4;;3 1/4;;;;;;;;;;;;;;;;;
S;ANCHO DE REFUERZO;;C;CRITICA;4 5/8;;4 3/8;;4 1/4;;4    ;;4 1/4;;4 1/8;;;;;;;;;;;;;;;;;
T;LARGO DE FUNDILLO;;C;CRITICA;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;2 3/4;;;;;;;;;;;;;;;;;
U;ANCHO DE FUNDILLO;;C;CRITICA;2 3/8;;2 3/8;;2 3/8;;2 3/8;;2 1/2;;2 1/2;;;;;;;;;;;;;;;;;
V;ANCHO DE CADERA ESPALDA;;P;CRITICA;14 1/2;;15 1/2;;16 1/2;;18    ;;19    ;;20    ;;;;;;;;;;;;;;;;;
X;LARGO PZA INFERIOR ESPALDA;;P;CRITICA;13    ;;13 1/2;;14    ;;14 3/4;;15 3/8;;16    ;;;;;;;;;;;;;;;;;
W;ANCHO DE CINTURA ESPALDA;;P;CRITICA;12 3/4;;13 3/4;;14 3/4;;16 1/4;;17 1/4;;18 1/4;;;;;;;;;;;;;;;;;
Y;ANCHO DE CADERA DELANTERO;;P;CRITICA;14 1/2;;15 1/2;;16 1/2;;18    ;;19    ;;20    ;;;;;;;;;;;;;;;;;
Z;ANCHO DE CINTURA DELANTERO;;P;CRITICA;12 3/4;;13 3/4;;14 3/4;;16 1/4;;17 1/4;;18 1/4;;;;;;;;;;;;;;;;;
Z1;LARGO PZA INFERIOR DELANTERO;;P;CRITICA;9 3/4;;10 1/4;;10 3/4;;11 1/2;;12 1/8;;12 3/4;;;;;;;;;;;;;;;;;
Z2;LARGO DE COLLARETA ESCOTE;;C;CRITICA;24 1/2;;25 3/8;;26 1/8;;27    ;;27 1/2;;28 1/4;;;;;;;;;;;;;;;;;
Z3;ANCHO DE COLLARETA ESCOTE;;C;CRITICA;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
